테스트 유형,측정 항목,값,단위,세부사항
토큰 생성 성능,평균 토큰 생성 속도,6.69,tokens/sec,다양한 토큰 수에 대한 평균
토큰 생성 성능,최대 토큰 생성 속도,7.11,tokens/sec,200 토큰 생성 시
토큰 생성 성능,10 토큰 생성 지연시간,1.29,seconds,짧은 응답
토큰 생성 성능,50 토큰 생성 지연시간,5.94,seconds,중간 응답
토큰 생성 성능,100 토큰 생성 지연시간,11.80,seconds,긴 응답
토큰 생성 성능,200 토큰 생성 지연시간,23.50,seconds,매우 긴 응답
토큰 생성 성능,500 토큰 생성 지연시간,58.71,seconds,최대 길이 응답
프롬프트 길이 영향,짧은 프롬프트 (5 토큰),11.80,seconds,기본 프롬프트
프롬프트 길이 영향,중간 프롬프트 (9 토큰),11.83,seconds,확장 프롬프트
프롬프트 길이 영향,긴 프롬프트 (13 토큰),11.81,seconds,상세 프롬프트
프롬프트 길이 영향,매우 긴 프롬프트 (20 토큰),11.81,seconds,복잡한 프롬프트
온도 설정 영향,온도 0.0 지연시간,11.77,seconds,결정적 생성
온도 설정 영향,온도 0.3 지연시간,11.82,seconds,낮은 변동성
온도 설정 영향,온도 0.5 지연시간,11.82,seconds,중간 변동성
온도 설정 영향,온도 0.7 지연시간,11.81,seconds,일반적 설정
온도 설정 영향,온도 0.9 지연시간,11.82,seconds,높은 변동성
온도 설정 영향,온도 1.0 지연시간,11.82,seconds,최대 변동성
온도 설정 영향,평균 지연시간,11.81,seconds,모든 온도 평균
동시 사용자 처리,1명 처리량,0.17,req/sec,단일 사용자
동시 사용자 처리,1명 평균 지연시간,5.95,seconds,단일 사용자
동시 사용자 처리,2명 처리량,0.32,req/sec,2명 동시
동시 사용자 처리,2명 평균 지연시간,6.18,seconds,2명 동시
동시 사용자 처리,5명 처리량,0.69,req/sec,5명 동시
동시 사용자 처리,5명 평균 지연시간,7.18,seconds,5명 동시
동시 사용자 처리,10명 처리량,1.15,req/sec,10명 동시
동시 사용자 처리,10명 평균 지연시간,8.66,seconds,10명 동시
동시 사용자 처리,20명 처리량,1.74,req/sec,20명 동시
동시 사용자 처리,20명 평균 지연시간,11.50,seconds,20명 동시
시스템 정보,모델명,Qwen3-32B-AWQ,텍스트,양자화 모델
시스템 정보,최대 컨텍스트 길이,40960,tokens,최대 처리 가능 토큰
시스템 정보,하드웨어,RTX 5090,텍스트,GPU 모델
시스템 정보,컨테이너 상태,Up,텍스트,정상 작동
시스템 정보,서비스 포트,8000,port,API 포트
