측정 항목,Qwen (기존 vLLM),SGLang Balanced-v2,개선율,비고
토큰 생성 속도,6.69 tok/s,10.28 tok/s,+53.7%,평균 속도
10 토큰 지연시간,1.29 seconds,0.97 seconds,+24.8%,짧은 응답
50 토큰 지연시간,5.94 seconds,4.87 seconds,+18.0%,중간 응답
100 토큰 지연시간,11.80 seconds,9.73 seconds,+17.5%,긴 응답
200 토큰 지연시간,23.50 seconds,19.47 seconds,+17.1%,매우 긴 응답
500 토큰 지연시간,58.71 seconds,48.70 seconds,+17.0%,최대 길이
온도 0.0 지연시간,11.77 seconds,9.72 seconds,+17.4%,결정적 생성
온도 0.7 지연시간,11.81 seconds,9.74 seconds,+17.5%,일반 설정
온도 1.0 지연시간,11.82 seconds,9.74 seconds,+17.6%,최대 변동성
1명 처리량,0.17 req/s,0.21 req/s,+23.5%,단일 사용자
1명 평균 지연시간,5.95 seconds,4.87 seconds,+18.2%,단일 사용자
2명 처리량,0.32 req/s,0.42 req/s,+31.3%,2명 동시
2명 평균 지연시간,6.18 seconds,4.71 seconds,+23.8%,2명 동시
5명 처리량,0.69 req/s,1.06 req/s,+53.6%,5명 동시
5명 평균 지연시간,7.18 seconds,4.72 seconds,+34.3%,5명 동시
10명 처리량,1.15 req/s,2.10 req/s,+82.6%,10명 동시
10명 평균 지연시간,8.66 seconds,4.76 seconds,+45.0%,10명 동시
20명 처리량,1.74 req/s,4.21 req/s,+142.0%,20명 동시
20명 평균 지연시간,11.50 seconds,4.75 seconds,+58.7%,20명 동시
평균 개선율,,,+40.6%,전체 평균
